"","scenario","region","direct","transformation","enduse","year","value","ghg","Units"
"129","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","industrial energy use",2100,-0.05224331,"CO2","MTCO2e"
"130","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","iron and steel",2100,-0.023033,"CO2","MTCO2e"
"131","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Large Car and Truck",2100,-0.0007958367,"CO2","MTCO2e"
"132","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Mini Car",2100,-1.550179e-06,"CO2","MTCO2e"
"133","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","mining energy use",2100,-7.361284e-05,"CO2","MTCO2e"
"134","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","agricultural energy use",2020,0.002353741,"CO2","MTCO2e"
"135","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","construction",2020,0.000225147,"CO2","MTCO2e"
"136","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","industrial energy use",2020,0.0187429,"CO2","MTCO2e"
"137","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","iron and steel",2020,2.951455e-05,"CO2","MTCO2e"
"138","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","mining energy use",2020,0.0003829077,"CO2","MTCO2e"
"139","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","agricultural energy use",2025,0.002498188,"CO2","MTCO2e"
"140","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","Car",2025,1.697878e-05,"CO2","MTCO2e"
"141","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","construction",2025,0.0002727204,"CO2","MTCO2e"
"142","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","industrial energy use",2025,0.01488099,"CO2","MTCO2e"
"143","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","iron and steel",2025,3.022606e-05,"CO2","MTCO2e"
"144","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","Large Car and Truck",2025,3.159757e-05,"CO2","MTCO2e"
"145","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","Mini Car",2025,5.905995e-06,"CO2","MTCO2e"
"146","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","mining energy use",2025,0.0004061194,"CO2","MTCO2e"
"147","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","agricultural energy use",2030,-0.0005739168,"CO2","MTCO2e"
"148","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","Car",2030,-1.901776e-05,"CO2","MTCO2e"
"149","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","construction",2030,-7.374891e-05,"CO2","MTCO2e"
"150","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","industrial energy use",2030,-0.004705501,"CO2","MTCO2e"
"151","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","iron and steel",2030,-5.720182e-06,"CO2","MTCO2e"
"152","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","Large Car and Truck",2030,-5.129669e-05,"CO2","MTCO2e"
"153","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","Mini Car",2030,-5.893859e-06,"CO2","MTCO2e"
"154","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","mining energy use",2030,-9.242077e-05,"CO2","MTCO2e"
"155","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","agricultural energy use",2035,-0.007664102,"CO2","MTCO2e"
"156","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","Car",2035,-0.0004386841,"CO2","MTCO2e"
"157","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","construction",2035,-0.001119694,"CO2","MTCO2e"
"158","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","industrial energy use",2035,-0.09863407,"CO2","MTCO2e"
"159","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","iron and steel",2035,-8.467661e-05,"CO2","MTCO2e"
"160","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","Large Car and Truck",2035,-0.001455795,"CO2","MTCO2e"
"161","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","Mini Car",2035,-0.0001241676,"CO2","MTCO2e"
"162","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","mining energy use",2035,-0.001217055,"CO2","MTCO2e"
"163","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","agricultural energy use",2040,-0.005488095,"CO2","MTCO2e"
"164","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","Car",2040,-0.0005859788,"CO2","MTCO2e"
"165","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","construction",2040,-0.000861535,"CO2","MTCO2e"
"166","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","industrial energy use",2040,-0.1024332,"CO2","MTCO2e"
"167","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","iron and steel",2040,-5.342929e-05,"CO2","MTCO2e"
"168","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","Large Car and Truck",2040,-0.002427296,"CO2","MTCO2e"
"169","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","Mini Car",2040,-0.0001527296,"CO2","MTCO2e"
"170","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","mining energy use",2040,-0.0008607264,"CO2","MTCO2e"
"171","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","agricultural energy use",2045,-0.002840427,"CO2","MTCO2e"
"172","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","Car",2045,-0.0004981807,"CO2","MTCO2e"
"173","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Northern","H2 enduse","H2 enduse","construction",2045,-0.0004880188,"CO2","MTCO2e"
